Rising Volume ,Rising Price ,Short-Term Profit ,Predicted Short-Term Profit 
FER,,,
GAMB,,,
GTEC,,,
PMCB,,,
AMPH,,,
ARTW,,,
DMLP,,,
OGI,,,
OXLCO,,,
BWMN,,,
IMXI,,,
NHTC,,,
SPNS,,,
CTMX,,,
CRON,,,
MNDO,,,
LWAY,,,
SFD,,,
BZFDW,,,
HPK,,,
JEM,,,
JKHY,,,
HNNA,,,
TNXP,,,
JFIN,,,
